rank,bgg_url,game_id,name,min_players,max_players,avg_time,min_time,max_time,weight,year,age,avg_rating,geek_rating,num_votes,owned,designer
1,https://boardgamegeek.com/boardgame/224517,224517,Brass: Birmingham,2,4,120,60,120,3.8951,2018,14,8.61254,8.42343,38725,53631,"Gavan Brown, Matt Tolman, Martin Wallace"
2,https://boardgamegeek.com/boardgame/161936,161936,Pandemic Legacy: Season 1,2,4,60,60,60,2.8319,2015,13,8.53513,8.38948,50665,78310,"Rob Daviau, Matt Leacock"
3,https://boardgamegeek.com/boardgame/174430,174430,Gloomhaven,1,4,120,60,120,3.8964,2017,14,8.6219,8.38731,58467,91428,Isaac Childres
4,https://boardgamegeek.com/boardgame/342942,342942,Ark Nova,1,4,150,90,150,3.7253,2021,14,8.53311,8.30241,31192,46422,Mathias Wigge
5,https://boardgamegeek.com/boardgame/233078,233078,Twilight Imperium: Fourth Edition,3,6,480,240,480,4.3077,2017,14,8.61959,8.24265,20943,25806,"Dane Beltrami, Corey Konieczka, Christian T. Petersen"
6,https://boardgamegeek.com/boardgame/167791,167791,Terraforming Mars,1,5,120,120,120,3.2561,2016,12,8.37772,8.23206,90206,124644,Jacob Fryxelius
7,https://boardgamegeek.com/boardgame/291457,291457,Gloomhaven: Jaws of the Lion,1,4,120,30,120,3.6337,2020,14,8.50017,8.20602,28989,64266,Isaac Childres
8,https://boardgamegeek.com/boardgame/316554,316554,Dune: Imperium,1,4,120,60,120,3.0227,2020,14,8.40161,8.17531,34784,49124,Paul Dennen
9,https://boardgamegeek.com/boardgame/115746,115746,War of the Ring: Second Edition,2,4,180,150,180,4.2081,2011,13,8.52989,8.1726,19175,31545,"Roberto Di Meglio, Marco Maggi, Francesco Nepitello"
10,https://boardgamegeek.com/boardgame/187645,187645,Star Wars: Rebellion,2,4,240,180,240,3.7368,2016,14,8.4175,8.16845,30007,46580,Corey Konieczka
11,https://boardgamegeek.com/boardgame/162886,162886,Spirit Island,1,4,120,90,120,4.0631,2017,13,8.35445,8.15187,44426,66019,R. Eric Reuss
12,https://boardgamegeek.com/boardgame/220308,220308,Gaia Project,1,4,150,60,150,4.3914,2017,12,8.40992,8.14326,24611,30482,"Jens Drögemüller, Helge Ostertag"
13,https://boardgamegeek.com/boardgame/182028,182028,Through the Ages: A New Story of Civilization,2,4,120,120,120,4.4322,2015,14,8.31535,8.08878,29671,34261,Vlaada Chvátil
14,https://boardgamegeek.com/boardgame/12333,12333,Twilight Struggle,2,2,180,120,180,3.6018,2005,13,8.25386,8.08118,46705,65047,"Ananda Gupta, Jason Matthews"
15,https://boardgamegeek.com/boardgame/193738,193738,Great Western Trail,2,4,150,75,150,3.704,2016,12,8.231,8.0664,38521,43629,Alexander Pfister
16,https://boardgamegeek.com/boardgame/169786,169786,Scythe,1,5,115,90,115,3.4382,2016,14,8.16979,8.01859,76863,104153,Jamey Stegmaier
17,https://boardgamegeek.com/boardgame/84876,84876,The Castles of Burgundy,2,4,90,30,90,2.9914,2011,12,8.12913,8.00571,57944,73985,Stefan Feld
18,https://boardgamegeek.com/boardgame/173346,173346,7 Wonders Duel,2,2,30,30,30,2.2258,2015,10,8.09919,7.97596,85269,138980,"Antoine Bauza, Bruno Cathala"
19,https://boardgamegeek.com/boardgame/167355,167355,Nemesis,1,5,180,90,180,3.4313,2018,12,8.30109,7.97033,26459,36813,Adam Kwapiński
20,https://boardgamegeek.com/boardgame/28720,28720,Brass: Lancashire,2,4,120,60,120,3.8583,2007,14,8.18902,7.96576,23551,30627,Martin Wallace
21,https://boardgamegeek.com/boardgame/246900,246900,Eclipse: Second Dawn for the Galaxy,2,6,200,60,200,3.6392,2020,14,8.50026,7.95532,10780,15165,Touko Tahkokallio
22,https://boardgamegeek.com/boardgame/124361,124361,Concordia,2,5,100,100,100,2.9973,2013,13,8.10314,7.95444,37462,43023,Mac Gerdts
23,https://boardgamegeek.com/boardgame/177736,177736,A Feast for Odin,1,4,120,30,120,3.8559,2016,12,8.1761,7.94498,25540,32537,Uwe Rosenberg
24,https://boardgamegeek.com/boardgame/266507,266507,Clank!: Legacy – Acquisitions Incorporated,2,4,120,90,120,2.7317,2019,13,8.57609,7.94229,8092,14820,"Andy Clautice, Paul Dennen"
25,https://boardgamegeek.com/boardgame/266192,266192,Wingspan,1,5,70,40,70,2.4531,2019,10,8.07321,7.92675,79937,122822,Elizabeth Hargrave
26,https://boardgamegeek.com/boardgame/120677,120677,Terra Mystica,2,5,150,60,150,3.9737,2012,12,8.08297,7.92128,45889,49917,"Jens Drögemüller, Helge Ostertag"
27,https://boardgamegeek.com/boardgame/205637,205637,Arkham Horror: The Card Game,1,2,120,60,120,3.5257,2016,14,8.1412,7.9111,39899,70378,"Nate French, Maxine Juniper Newman, Matthew J. Newman"
28,https://boardgamegeek.com/boardgame/237182,237182,Root,2,4,90,60,90,3.768,2018,10,8.08348,7.89074,43920,67214,Cole Wehrle
29,https://boardgamegeek.com/boardgame/312484,312484,Lost Ruins of Arnak,1,4,120,30,120,2.9022,2020,12,8.08175,7.88995,35499,53001,"Elwen, Mín"
30,https://boardgamegeek.com/boardgame/164928,164928,Orléans,2,4,90,90,90,3.0254,2014,12,8.06193,7.87626,29043,35864,Reiner Stockhausen
31,https://boardgamegeek.com/boardgame/199792,199792,Everdell,1,4,80,40,80,2.8052,2018,13,8.05553,7.87055,45652,68489,James A. Wilson
32,https://boardgamegeek.com/boardgame/96848,96848,Mage Knight Board Game,1,4,240,60,240,4.3515,2011,14,8.08922,7.86172,32054,44090,Vlaada Chvátil
33,https://boardgamegeek.com/boardgame/183394,183394,Viticulture Essential Edition,1,6,90,45,90,2.8892,2015,13,8.01037,7.86117,44285,61541,"Jamey Stegmaier, Alan Stone"
34,https://boardgamegeek.com/boardgame/341169,341169,Great Western Trail (Second Edition),1,4,150,75,150,3.7276,2021,12,8.42516,7.84661,8454,13840,Alexander Pfister
35,https://boardgamegeek.com/boardgame/251247,251247,Barrage,1,4,120,60,120,4.0932,2019,14,8.18353,7.8461,14869,18575,"Tommaso Battista, Simone Luciani"
36,https://boardgamegeek.com/boardgame/324856,324856,The Crew: Mission Deep Sea,2,5,20,20,20,2.0423,2021,10,8.22389,7.83336,12330,25703,Thomas Sing
37,https://boardgamegeek.com/boardgame/175914,175914,Food Chain Magnate,2,5,240,120,240,4.2059,2015,14,8.08458,7.81942,18633,22965,"Jeroen Doumen, Joris Wiersinga"
38,https://boardgamegeek.com/boardgame/192135,192135,Too Many Bones,1,4,120,60,120,3.8538,2017,12,8.35316,7.81781,10833,15904,"Josh J. Carlson, Adam Carlson"
39,https://boardgamegeek.com/boardgame/285774,285774,Marvel Champions: The Card Game,1,4,90,45,90,2.9167,2019,14,8.14458,7.80571,20728,35148,"Michael Boggs, Nate French, Caleb Grace"
40,https://boardgamegeek.com/boardgame/256960,256960,Pax Pamir: Second Edition,1,5,120,45,120,3.8366,2019,13,8.25383,7.80155,11345,17680,Cole Wehrle
41,https://boardgamegeek.com/boardgame/3076,3076,Puerto Rico,3,5,150,90,150,3.2723,2002,12,7.9313,7.79559,69126,79585,Andreas Seyfarth
42,https://boardgamegeek.com/boardgame/247763,247763,Underwater Cities,1,4,150,80,150,3.6089,2018,12,8.07776,7.78878,17224,22721,Vladimír Suchý
43,https://boardgamegeek.com/boardgame/102794,102794,Caverna: The Cave Farmers,1,7,210,30,210,3.7796,2013,12,7.96481,7.78523,33115,42223,Uwe Rosenberg
44,https://boardgamegeek.com/boardgame/170216,170216,Blood Rage,2,4,90,60,90,2.8752,2015,14,7.94965,7.77883,43929,52195,Eric M. Lang
45,https://boardgamegeek.com/boardgame/185343,185343,Anachrony,1,4,120,30,120,4.0175,2017,15,8.09711,7.77112,16750,21411,"Dávid Turczi, Richard Amann, Viktor Peter"
46,https://boardgamegeek.com/boardgame/31260,31260,Agricola,1,5,150,30,150,3.637,2007,12,7.89157,7.7683,70443,83007,Uwe Rosenberg
47,https://boardgamegeek.com/boardgame/295947,295947,Cascadia,1,4,45,30,45,1.8276,2021,10,7.97514,7.7575,26425,43156,Randy Flynn
48,https://boardgamegeek.com/boardgame/184267,184267,On Mars,1,4,150,90,150,4.67,2020,14,8.21842,7.75633,11040,18108,Vital Lacerda
49,https://boardgamegeek.com/boardgame/314040,314040,Pandemic Legacy: Season 0,2,4,60,45,60,3.1406,2020,14,8.46175,7.74117,6352,14456,"Rob Daviau, Matt Leacock"
50,https://boardgamegeek.com/boardgame/221107,221107,Pandemic Legacy: Season 2,2,4,60,60,60,3.2483,2017,14,8.05307,7.73976,15838,30400,"Rob Daviau, Matt Leacock"
51,https://boardgamegeek.com/boardgame/205059,205059,Mansions of Madness: Second Edition,1,5,180,120,180,2.6706,2016,14,7.97052,7.73558,33702,53177,Nikki Valens
52,https://boardgamegeek.com/boardgame/521,521,Crokinole,2,4,30,30,30,1.2369,1876,8,8.0035,7.73224,16232,14928,(Uncredited)
53,https://boardgamegeek.com/boardgame/276025,276025,Maracaibo,1,4,120,30,120,3.907,2019,12,8.07158,7.73204,14380,20512,Alexander Pfister
54,https://boardgamegeek.com/boardgame/126163,126163,Tzolk'in: The Mayan Calendar,2,4,90,90,90,3.6725,2012,13,7.87233,7.72003,37272,43644,"Simone Luciani, Daniele Tascini"
55,https://boardgamegeek.com/boardgame/255984,255984,Sleeping Gods,1,4,1200,60,1200,3.2332,2021,13,8.31674,7.7201,8481,21297,Ryan Laukat
56,https://boardgamegeek.com/boardgame/284378,284378,Kanban EV,1,4,180,60,180,4.3205,2020,14,8.4651,7.71858,6104,11169,Vital Lacerda
57,https://boardgamegeek.com/boardgame/2651,2651,Power Grid,2,6,120,120,120,3.2576,2004,12,7.82258,7.7144,63039,76555,Friedemann Friese
